id;nda;Promotoria de Justiça;Comarca;Endereço;Sala;e-mail;Telefones;Celular;Situação;Titular;Motivo Afastamento Titular DG;Responsável Atual;Entrância;Atribuições;Resolução;url_resolucao;Coord_PJs
63;.;63ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;63promotoria@mpgo.mp.br;;;PROVIDA;Rúbian Corrêa Coutinho;;;FINAL;"Atuação perante o 1º Juizado de Violência Doméstica e Familiar contra a Mulher da Comarca de Goiânia e na defesa de seus direitos, nos termos da Lei Federal n.° 11.340/, concorrentemente com a 44ª Promotoria de Justiça;";;;
64;.;64ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;64promotoria@mpgo.mp.br;;;PROVIDA;Rodrigo Félix Bueno;Chefe de Gabinete da Procuradoria-Geral de Justiça;José Eduardo Veiga Braga Filho*;FINAL;"Atuação perante a 7ª Vara de Família da comarca de Goiânia;";;;
65;.;65ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;65promotoria@mpgo.mp.br;;;PROVIDA;Haroldo Caetano da Silva;;;FINAL;"Atuação na defesa da pessoa idosa, inclusive nas questões referentes à defesa do direito à saúde, concorrentemente com a 30ª Promotoria de Justiça;";;;
66;.;66ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;66promotoria@mpgo.mp.br;;;PROVIDA;Maria Cristina de Miranda;;;FINAL;"Atuação perante a 4ª Vara da Fazenda Pública Municipal e de Registros Públicos; atuação perante a 2ª Vara da Fazenda Pública Municipal e de Registros Públicos, concorrentemente com a 49ª Promotoria de Justiça; atuação perante o 2º Juizado Especial da Fazenda Pública, exclusivamente nos feitos relacionados à Fazenda Pública Municipal; atuação perante o 3º Juizado Especial da Fazenda Pública, exclusivamente nos feitos relacionados à Fazenda Pública Municipal, concorrentemente com a 49ª Promotoria de Justiça;";;;
67;.;67ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;67promotoria@mpgo.mp.br;;;PROVIDA;José Carlos Miranda Nery Júnior;;;FINAL;"Atuação em matéria da competência da 4ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 85ª Promotoria de Justiça, e nas sessões de julgamento da 3ª e 4ª Varas Criminais dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 24ª, 85ª e 93ª Promotorias de Justiça;";;;
68;.;68ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;68promotoria@mpgo.mp.br;;;PROVIDA;Vilanir de Alencar Camapum Júnior;;;FINAL;"Atuação perante a 2ª Vara Criminal dos crimes apenados com detenção, crimes de trânsito, crimes contra a ordem tributária e crimes contra vítimas hipervulneráveis (Crianças e Adolescentes, Pessoas com Deficiência, Idosos) da comarca de Goiânia, concorrentemente com a 58ª Promotoria de Justiça;";;;
69;.;69ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;69promotoria@mpgo.mp.br;;;PROVIDA;Elizena Aparecida Xavier;;;FINAL;"Atuação em matéria de competência da Vara de Execução de Penas e Medidas Alternativas, concorrentemente com a 32ª Promotoria de Justiça;";;;
70;.;70ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;70promotoria@mpgo.mp.br;;;PROVIDA;Goiamilton Antônio Machado;;;FINAL;"Atuação em defesa e proteção ao consumidor, em casos de interesses difusos, coletivos e individuais homogêneos; defesa e proteção da livre concorrência e da ordem econômica, na esfera cível, concorrentemente com a 12ª Promotoria de Justiça.";;;
71;.;71ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;71promotoria@mpgo.mp.br;;;PROVIDA;Robertson Alves de Mesquita;;;FINAL;"Atuação perante o 2º Juizado de Violência Doméstica e Familiar contra a Mulher da Comarca de Goiânia e na defesa de seus direitos, nos termos da Lei Federal n.° 11.340/, concorrentemente com a 22ª Promotoria de Justiça;";;;
72;.;72ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;72promotoria@mpgo.mp.br;;;PROVIDA;Andréia de Brito Rodrigues;;;FINAL;"Atuação perante o 1º Juizado Especial Criminal e o 1º, 2º, 3º, 4º e 5º Juizados Especiais Cíveis, concorrentemente com a 100ª Promotoria de Justiça;";;;
73;.;73ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;73promotoria@mpgo.mp.br;;;PROVIDA;João Teles de Moura Neto;;;FINAL;"Atuação na defesa do patrimônio público, no combate à corrupção e à improbidade administrativa, na esfera cível e criminal, abrangendo a atribuição para oficiar nos processos judiciais decorrentes de sua atuação, concorrentemente com as 20ª, 50ª, 57ª, 78ª, 89ª e 90ª Promotorias de Justiça;";;;
74;.;74ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;74promotoria@mpgo.mp.br;;;PROVIDA;Paulo César Torres;;;FINAL;"Atuação perante o 2º Juizado Especial Criminal e o 6º, 7º, 8º, 9º, 10º e 11º Juizados Especiais Cíveis, concorrentemente com a 101ª Promotoria de Justiça;";;;
75;.;75ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;75promotoria@mpgo.mp.br;;;PROVIDA;Delson Leone Júnior;;;FINAL;"Atuação em matéria infracional junto ao Juizado da Infância e Juventude, além de promover o inquérito civil e a ação civil pública para a proteção dos interesses individuais, difusos ou coletivos relativos à infância e à adolescência inclusive os definidos no artigo 220, § 3º, inciso II, da Constituição Federal e realizar visitas e fiscalização de locais de internação e semiliberdade, concorrentemente com as 4ª e 52ª Promotorias de Justiça;";;;
76;.;76ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;76promotoria@mpgo.mp.br;;;PROVIDA;Luís Eduardo Barros Ferreira;;;FINAL;"Atuação perante o 3º Juizado de Violência Doméstica e Familiar contra a Mulher da Comarca de Goiânia e na defesa de seus direitos, nos termos da Lei Federal n. 11.340/, concorrentemente com a 77ª Promotoria de Justiça;";;;
77;.;77ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;77promotoria@mpgo.mp.br;;;PROVIDA;Tamara Andreia Botovchenco Rivera;;;FINAL;"Atuação perante o 3º Juizado de Violência Doméstica e Familiar contra a Mulher da Comarca de Goiânia e na defesa de seus direitos, nos termos da Lei Federal n. 11.340/, concorrentemente com a 76ª Promotoria de Justiça;";;;
78;.;78ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;78promotoria@mpgo.mp.br;;;PROVIDA;Rafael de Pina Cabral;;;FINAL;"Atuação na defesa do patrimônio público, no combate à corrupção e à improbidade administrativa, na esfera cível e criminal, abrangendo a atribuição para oficiar nos processos judiciais decorrentes de sua atuação, concorrentemente com as 20ª, 50ª, 57ª, 73ª, 89ª e 90ª Promotorias de Justiça;";;;
79;.;79ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;79promotoria@mpgo.mp.br;;;PROVIDA;Lílian Conceição Mendonça de Araújo;Promotora Corregedora;Adrianni Fátima Falcão Santos Almeida;FINAL;"Atuação em matéria criminal junto à Auditoria Militar, concorrentemente com a 84ª Promotoria de Justiça;";;;
80;.;80ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;80promotoria@mpgo.mp.br;;;PROVIDA;José Divino da Silva;;;FINAL;"Atuação em matéria de competência da 3ª Vara Criminal dos crimes punidos com reclusão concorrentemente com a 31ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ – CPJ;";;;
81;.;81ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;81promotoria@mpgo.mp.br;;;PROVIDA;Marcelo Fernandes de Melo;;;FINAL;Atuação em defesa de interesses difusos, coletivos, individuais homogêneos, nas questões relativas ao meio ambiente, urbanismo, patrimônio histórico, turístico, estético, cultural, paisagístico e urbanísticos, nas esferas cível e criminal, concorrentemente com as 7ª, 8ª e 15ª Promotorias de Justiça.;;;
82;.;82ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;82promotoria@mpgo.mp.br;;;PROVIDA;Heliana Godói de Sousa Abrão;;;FINAL;"Atuação na defesa do cidadão, incluindo a defesa do direito à saúde e o combate ao racismo e à discriminação racial, exceto nas questões referentes à pessoa idosa e à pessoa com deficiência; e também, em caráter subsidiário, atuação na defesa do patrimônio público quando decorrente de fatos ou atos relacionados à área da cidadania, concorrentemente com a 53ª, 87ª e 88ª Promotorias de Justiça;";;;
83;.;83ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;83promotoria@mpgo.mp.br;;;PROVIDA;Spiridon Nicofotis Anyfantis;;;FINAL;"Atuação em matéria da competência da 1ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 29ª Promotoria de Justiça, e nas sessões de julgamento da 1ª e 2ª Varas Criminais dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 17ª, 29ª e 92ª Promotorias de Justiça;";;;
84;.;84ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;84promotoria@mpgo.mp.br;;;PROVIDA;Adrianni Fátima Falcão Santos Almeida;;;FINAL;"Atuação em matéria criminal junto à Auditoria Militar, concorrentemente com a 79ª Promotoria de Justiça;";;;
85;.;85ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;85promotoria@mpgo.mp.br;;;VAGA;** Sem Titular;;Geibson Cândido Martins Rezende *;FINAL;"Atuação em matéria da competência da 4ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 67ª Promotoria de Justiça, e nas sessões de julgamento da 3ª e 4ª Varas Criminais dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 24ª, 67ª e 93ª Promotorias de Justiça;";;;
86;.;86ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;86promotoria@mpgo.mp.br;;;PROVIDA;Astúlio Gonçalves de Souza;;;FINAL;"Atuação exclusiva em defesa da ordem tributária em procedimentos investigatórios, administrativos, inquéritos policiais e processos criminais sobre a matéria distribuídos para as 3ª, 4ª, 7ª, 9ª, 11ª e 12ª Varas Criminais dos crimes punidos com reclusão e 1ª Vara Criminal dos crimes apenados com detenção; visita à Delegacia Estadual de Repressão aos Crimes Contra a Ordem Tributária – DOT; atuação na tutela do patrimônio público e da probidade administrativa nas questões relativas à defesa da ordem tributária, concorrentemente com a 59ª Promotoria de Justiça;";;;
87;.;87ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;87promotoria@mpgo.mp.br;;;PROVIDA;Marlene Nunes Freitas Bueno;;;FINAL;"Atuação na defesa do cidadão, incluindo a defesa do direito à saúde e o combate ao racismo e à discriminação racial, exceto nas questões referentes à pessoa idosa e à pessoa com deficiência; e também em caráter subsidiário, atuação na defesa do patrimônio público quando decorrente de fatos ou atos relacionados à área da cidadania, concorrentemente com a 53ª, 82ª e 88ª Promotorias de Justiça;";;;
88;.;88ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;88promotoria@mpgo.mp.br;;;PROVIDA;Cassius Marcellus de Freitas Rodrigues;;;FINAL;"Atuação na defesa do cidadão, incluindo a defesa do direito à saúde e o combate ao racismo e à discriminação racial, exceto nas questões referentes à pessoa idosa e à pessoa com deficiência; e também, em caráter subsidiário, atuação na defesa do patrimônio público quando decorrente de fatos ou atos relacionados à área da cidadania, concorrentemente com a 53ª, 82ª e 87ª Promotorias de Justiça;";;;
89;.;89ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;89promotoria@mpgo.mp.br;;;PROVIDA;Flávio Cardoso Pereira;;;FINAL;"Atuação na defesa do patrimônio público, no combate à corrupção e à improbidade administrativa, na esfera cível e criminal, abrangendo a atribuição para oficiar nos processos judiciais decorrentes de sua atuação, concorrentemente com as 20ª, 50ª, 57ª, 73ª, 78ª e 90ª Promotorias de Justiça;";;;
90;.;90ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;90promotoria@mpgo.mp.br;;;PROVIDA;Fabiana Lemes Zamalloa do Prado;Promotora Corregedora;Umberto Machado De Oliveira;FINAL;Atuação na defesa do patrimônio público, no combate à corrupção e à improbidade administrativa, na esfera cível e criminal, abrangendo a atribuição para oficiar nos processos judiciais decorrentes de sua atuação, concorrentemente com as 20ª, 50ª, 57ª, 73ª, 78ª e 89ª Promotorias de Justiça.;;;
91;.;91ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;91promotoria@mpgo.mp.br;;;PROVIDA;Keila Martins Ferreira Von Zuben Durante;;;FINAL;"Atuação em matéria de competência da 2ª Vara de Execução Penal;";;;
92;.;92ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;92promotoria@mpgo.mp.br;;;PROVIDA;Sérgio Luís Delfim;;;FINAL;"Atuação em matéria da competência da 2ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 17ª Promotoria de Justiça, e nas sessões de julgamento da 1ª e 2ª Varas Criminais dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 17ª, 29ª e 83ª Promotorias de Justiça;";;;
93;.;93ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;93promotoria@mpgo.mp.br;;;PROVIDA;Maurício Gonçalves de Camargos;;;FINAL;"Atuação em matéria da competência da 3ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 24ª Promotoria de Justiça, e nas sessões de julgamento da 3ª e 4ª Varas Criminais dos Crimes Dolosos contra a Vida e Tribunal do Júri, concorrentemente com a 24ª, 67ª e 85ª Promotorias de Justiça;";;;
94;.;94ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;94promotoria@mpgo.mp.br;;;PROVIDA;José Fabiano Ito;;;FINAL;"Atuação em matéria de competência da 1ª Vara de Execução Penal, concorrentemente com a 26ª Promotoria de Justiça;";;;
95;.;95ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;95promotoria@mpgo.mp.br;;;PROVIDA;Fabíola Marquez Teixeira;;;FINAL;Atuação em matéria de competência da 7ª Vara Criminal (Juiz 2), referente à execução penal.;;;
96;.;96ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;96promotoria@mpgo.mp.br;;;PROVIDA;Cyro Terra Peres;Procurador-Geral de Justça;Leandro Koiti Murata;FINAL;"Atuação perante o 4º Juizado de Violência Doméstica e Familiar contra a Mulher da Comarca de Goiânia e na defesa de seus direitos, nos termos da Lei Federal n. 11.340/, concorrentemente com a 97ª Promotoria de Justiça;";;;
97;.;97ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;97promotoria@mpgo.mp.br;;;PROVIDA;Silvana Antunes Vieira Nascimento;;;FINAL;Atuação perante o 4º Juizado de Violência Doméstica e Familiar contra a Mulher da Comarca de Goiânia e na defesa de seus direitos, nos termos da Lei Federal n. 11.340/, concorrentemente com a 96ª Promotoria de Justiça.;;;
98;.;98ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;98promotoria@mpgo.mp.br;;;PROVIDA;Antônio de Pádua Freitas Júnior;;;FINAL;"Atuação criminal, extrajudicial e judicial, em matéria de competência da Vara de Feitos Relativos a Delitos Praticados por Organização Criminosa e de Lavagem ou Ocultação de Bens, Direitos e Valores, concorrentemente com a 99ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ - CPJ;";;;
99;.;99ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;99promotoria@mpgo.mp.br;;;PROVIDA;Juan Borges de Abreu;;;FINAL;Atuação criminal, extrajudicial e judicial, em matéria de competência da Vara de Feitos Relativos a Delitos Praticados por Organização Criminosa e de Lavagem ou Ocultação de Bens, Direitos e Valores, concorrentemente com a 98ª Promotoria de Justiça, bem como no controle externo concentrado da atividade policial, nos moldes da Resolução n. 15/ - CPJ.;;;
100;.;100ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;100promotoria@mpgo.mp.br;;;PROVIDA;Cejana Louza Ferreira Batista Veloso;;;FINAL;"Atuação perante o 1º Juizado Especial Criminal e o 1º, 2º, 3º, 4º e o 5º Juizados Especiais Cíveis, concorrentemente com a 72ª Promotoria de Justiça;";;;
101;.;101ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;101promotoria@mpgo.mp.br;;;PROVIDA;Cláudio Braga Lima;;;FINAL;"""Atuação perante o 2º Juizado Especial Criminal e o 6º, 7º, 8º, 9º, 10º e 11º Juizados Especiais Cíveis, concorrentemente com a 74ª Promotoria de Justiça.""""""";;;
102;.;102ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;102promotoria@mpgo.mp.br;;;VAGA;** Sem Titular;;;FINAL;** Ainda não definida pelo Colégio de Procuradores de Justiça.;;;
103;.;103ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;103promotoria@mpgo.mp.br;;;VAGA;** Sem Titular;;;FINAL;** Ainda não definida pelo Colégio de Procuradores de Justiça.;;;
104;.;104ª PROMOTORIA DE JUSTIÇA DE GOIÂNIA;GOIÂNIA;;;104promotoria@mpgo.mp.br;;;VAGA;** Sem Titular;;;FINAL;** Ainda não definida pelo Colégio de Procuradores de Justiça.;;;
105;.;1ª PROMOTORIA DE JUSTIÇA DE ÁGUAS LINDAS DE GOIÁS;ÁGUAS LINDAS DE GOIÁS;;;;;;PROVIDA;Renata Caroliny Ribeiro e Silva;;;INTERMEDIÁRIA;"Atuação perante a 2ª Vara Criminal, exceto nos crimes relativos à violência doméstica e familiar contra a mulher;";;;
106;.;2ª PROMOTORIA DE JUSTIÇA DE ÁGUAS LINDAS DE GOIÁS;ÁGUAS LINDAS DE GOIÁS;;;;;;PROVIDA;Marcelo Crepaldi Dias Barreira;Outra função de execução;Flavian Cristiane Viga Da Silveira*;INTERMEDIÁRIA;"Atuação perante a 3ª Vara Criminal, exceto nos crimes relativos à violência doméstica e familiar contra a mulher;";;;
107;.;3ª PROMOTORIA DE JUSTIÇA DE ÁGUAS LINDAS DE GOIÁS;ÁGUAS LINDAS DE GOIÁS;;;;;;PROVIDA;Daniel Lima Pessoa;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Cível, nos feitos cíveis e na área da infância e juventude; atuação perante a 1ª Vara Criminal, exclusivamente nas sessões de julgamento do Tribunal do Júri e nos recursos decorrentes;";;;Coordenador das Promotorias de Águas Lindas de Goiás
108;.;4ª PROMOTORIA DE JUSTIÇA DE ÁGUAS LINDAS DE GOIÁS;ÁGUAS LINDAS DE GOIÁS;;;;;;PROVIDA;Ana Paula Machado Franklin;CNMP;Flavian Cristiane Viga Da Silveira **;INTERMEDIÁRIA;"Atuação perante a 2ª Vara Cível, nos feitos cíveis; atuação na área de família e sucessões; defesa do consumidor;";;;
109;.;5ª PROMOTORIA DE JUSTIÇA DE ÁGUAS LINDAS DE GOIÁS;ÁGUAS LINDAS DE GOIÁS;;;;;;PROVIDA;Tânia D’Able Rocha de Torres Bandeira;;;INTERMEDIÁRIA;"Atuação perante a Vara de Fazendas Públicas, Registros Públicos e Ambiental; defesa do patrimônio público e do cidadão; fiscalização das fundações;";;;
110;.;6ª PROMOTORIA DE JUSTIÇA DE ÁGUAS LINDAS DE GOIÁS;ÁGUAS LINDAS DE GOIÁS;;;;;;PROVIDA;Lorena Mendes;;;INTERMEDIÁRIA;"Atuação perante o Juizado Especial Cível e Criminal; defesa da educação;";;;
111;.;7ª PROMOTORIA DE JUSTIÇA DE ÁGUAS LINDAS DE GOIÁS;ÁGUAS LINDAS DE GOIÁS;;;;;;PROVIDA;Walter Tiyozo Linzmayer Otsuka;CNMP/CN;Lorena Mendes *;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal nos crimes dolosos contra a vida, à exceção das sessões de julgamento do Tribunal do Júri; execução penal";;;
112;.;8ª PROMOTORIA DE JUSTIÇA DE ÁGUAS LINDAS DE GOIÁS;ÁGUAS LINDAS DE GOIÁS;;;;;;VAGA;** Sem Titular;;Vinícius Rodrigues Alves*;INTERMEDIÁRIA;"Atuação nos crimes relativos à violência doméstica e familiar contra a mulher; defesa do meio ambiente e da ordem urbanística.";;;
113;.;PROMOTORIA DE JUSTIÇA DE ALVORADA DO NORTE;ALVORADA DO NORTE;;;;;;PROVIDA;Ivan Lucas de Souza Júnior;;;INTERMEDIÁRIA;Plena.;;;
114;.;1ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Luís Guilherme Martinhão Gimenes;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal, concorrentemente com a 7ª Promotoria de Justiça, e nas sessões de julgamento do Tribunal do Júri, concorrentemente com a 2ª, 6ª, 7ª, 8ª, 10ª, 16ª, 18ª e 19ª Promotorias de Justiça;";;;
115;.;2ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Yashmin Crispim Baiocchi de Paula e Toledo;Assessora Jurídco- administrativa da PGJ, com prejuízo;Denis Augusto Bimbati Marques*;INTERMEDIÁRIA;"Atuação perante a 2ª Vara Criminal, concorrentemente com a 8ª Promotoria de Justiça, e nas sessões de julgamento do Tribunal do Júri, concorrentemente com a 1ª, 6ª, 7ª, 8ª, 10ª, 16ª, 18ª e 19ª Promotorias de Justiça;";;;
116;.;3ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Mayza Morgana Chaves Torres;;;INTERMEDIÁRIA;"Atuação perante a 2ª Vara de Família e Sucessões, bem como nas habilitações de casamento; atuação perante a 3ª Vara de Família e Sucessões, concorrentemente com a 4ª Promotoria de Justiça;";;;
117;.;4ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Luís Fernando Ferreira de Abreu;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara de Família e Sucessões, bem como nas habilitações de casamento; atuação perante a 3ª Vara de Família e Sucessões, concorrentemente com a 3ª Promotoria de Justiça;";;;
118;.;5ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Paulo Henrique Martorini;;;INTERMEDIÁRIA;"Atuação perante a 1ª, 2ª e 3ª Varas de Família e Sucessões, concorrentemente com a 3ª e 4ª Promotorias de Justiça, exclusivamente na promoção das ações de interdição de idosos; atuação perante a 4ª e 6ª Varas Cíveis; fiscalização de fundações, defesa do consumidor e do cidadão, exceto saúde;";;;
119;.;6ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;VAGA;** Sem Titular;;Ana Paula Ferreira Gomes *;INTERMEDIÁRIA;"Atuação perante a 3ª Vara Criminal, concorrentemente com a 10ª Promotoria de Justiça, e nas sessões de julgamento do Tribunal do Júri, concorrentemente com as 1ª, 2ª, 7ª, 8ª, 10ª, 16ª, 18ª e 19ª Promotorias de Justiça;";;;
120;.;7ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Denis Augusto Bimbati Marques;;;INTERMEDIÁRIA;"Atuação perante a 1ª Vara Criminal, concorrentemente com a 1ª Promotoria de Justiça, e nas sessões de julgamento do Tribunal do Júri, concorrentemente com a 1ª, 2ª, 6ª, 8ª, 10ª, 16ª, 18ª e 19ª Promotorias de Justiça;";;;
121;.;8ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Camila Fernandes Mendonça;;;INTERMEDIÁRIA;"Atuação perante a 2ª Vara Criminal, concorrentemente com a 2ª Promotoria de Justiça, e nas sessões de julgamento do Tribunal do Júri, concorrentemente com a 1ª, 2ª, 6ª, 7ª, 10ª, 16ª, 18ª e 19ª Promotorias de Justiça;";;;
122;.;9ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Marcelo de Freitas;;;INTERMEDIÁRIA;"Atuação judicial e extrajudicial na área da saúde;";;;
123;.;10ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Liana Antunes Vieira Tormin;Assessora Jurídico- administrativa da PGJ, com prejuízo;Eliseu Antônio Da Silva Belo *;INTERMEDIÁRIA;"Atuação perante a 3ª Vara Criminal, concorrentemente com a 6ª Promotoria de Justiça, e nas sessões de julgamento do Tribunal do Júri, concorrentemente com a 1ª, 2ª, 6ª, 7ª, 8ª, 16ª, 18ª e 19ª Promotorias de Justiça;";;;
124;.;11ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Renata Silva Ribeiro de Siqueira;Assessora Jurídico- Administrativa da PGJ, lotado na Procuradoria Especializada em Recursos Constitucionais;Paulo Henrique Martorini*;INTERMEDIÁRIA;"Atuação perante a 1ª e 2ª Varas Cíveis, defesa do patrimônio público;";;;
125;.;12ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Valéria Marques Freitas;;;INTERMEDIÁRIA;"Atuação perante a Vara da Fazenda Pública Estadual e a Vara da Fazenda Pública Municipal, de Registros Públicos e Ambiental;";;;
126;.;13ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Carla Brant Corrêa Sebba Roriz;;;INTERMEDIÁRIA;"Atuação perante o Juizado de Violência Doméstica e Familiar contra a Mulher e na defesa de seus direitos, nos termos da Lei Federal n. 11.340/;";;;
127;.;14ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;VAGA;** Sem Titular;;Laura Figueiredo Félix Lara *;INTERMEDIÁRIA;"Atuação perante o 1º Juizado Especial Criminal e o 1º, 2º, 3º e 4º Juizados Especiais Cíveis;";;;
128;.;15ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Sandra Mara Garbelini;;;INTERMEDIÁRIA;"Atuação perante a 3ª e 5ª Varas Cíveis; defesa do meio ambiente, do patrimônio histórico e cultural e da ordem urbanística;";;;Coordenador das PJs de Anápolis
129;.;16ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Eliseu Antônio da Silva Belo;;;INTERMEDIÁRIA;"Atuação perante a 5ª Vara Criminal, concorrentemente com a 18ª Promotoria de Justiça, e nas sessões de julgamento do Tribunal do Júri, concorrentemente com as 1ª, 2ª, 6ª, 7ª, 8ª, 10ª, 18ª e 19ª Promotorias de Justiça;";;;
130;.;17ª PROMOTORIA DE JUSTIÇA DE ANÁPOLIS;ANÁPOLIS;;;;;;PROVIDA;Karina D’Abruzzo;Assessora Jurídico- Administrativa PGJ;Mayza Morgana Chaves Torres (Eventual);INTERMEDIÁRIA;"Atuação em matéria cível e infracional junto ao Juizado da Infância e Juventude, além da promoção de inquérito civil e ação civil pública para a proteção dos interesses difusos, coletivos e individuais indisponíveis respectivos, incluindo as visitas e inspeções às entidades de acolhimento institucional de crianças e adolescentes, bem como às unidades de internação e de semiliberdade de adolescentes;";;;
